ID,City,Municipality,Neighborhood,Property_Type,Property_Subtype,Area,Rooms,Current_Floor,Total_Floors,Advertiser_Type,Photo_Count,Total_Price_EUR,Scrape_Date
5425646553882,Beograd,Novi Beograd,Blok 63,flat,Stan,88.0,3.0 Broj soba,I,4 Spratnost,Vlasnik,10,261000.0,2026-06-21 15:44:37
5425645149034,Beograd,Novi Beograd,Blok 63,flat,Stan,76.0,3.0 Broj soba,II,9 Spratnost,Agencija,16,326800.0,2026-06-21 15:44:37
5425646983371,Beograd,Vračar,Kalenić pijaca,flat,Stan,55.0,2.0 Broj soba,VPR,3 Spratnost,Agencija,18,265000.0,2026-06-21 15:44:37
5425645636740,Beograd,Palilula,Karaburma,flat,Stan,49.0,2.0 Broj soba,II,4 Spratnost,Agencija,20,169000.0,2026-06-21 15:44:37
5425644704505,Beograd,Novi Beograd,Blok 67 (Belvil),flat,Stan,94.0,4.0 Broj soba,XIII,13 Spratnost,Agencija,20,535000.0,2026-06-21 15:44:37
5425646440691,Beograd,Novi Beograd,Blok 28,flat,Stan,65.0,2.5 Broj soba,PR,5 Spratnost,Agencija,7,215000.0,2026-06-21 15:44:37
5425646684909,Beograd,Savski venac,Dedinje,flat,Stan,184.0,4.0 Broj soba,IV,4 Spratnost,Agencija,11,989000.0,2026-06-21 15:44:37
5425647075684,Beograd,Čukarica,Banovo brdo,flat,Stan,345.0,5.0 Broj soba,,,Agencija,52,862500.0,2026-06-21 15:44:37
5425647075685,Beograd,Čukarica,Banovo brdo,flat,Stan,325.0,5+ Broj soba,,,Agencija,32,812500.0,2026-06-21 15:44:37
5425645453115,Beograd,Rakovica,Labudovo brdo,flat,Stan,67.0,2.5 Broj soba,I,4 Spratnost,Agencija,9,154000.0,2026-06-21 15:44:37
5425646952540,Beograd,Voždovac,Medaković 3,flat,Stan,98.0,3.5 Broj soba,II,6 Spratnost,Agencija,11,279911.0,2026-06-21 15:44:37
5425647199549,Beograd,Zemun,Gardoš,flat,Stan,74.77,3.0 Broj soba,IV,4 Spratnost,Agencija,2,209356.0,2026-06-21 15:44:37
5425647194112,Beograd,Savski venac,Klinički centar,flat,Stan,54.0,2.5 Broj soba,IV,4 Spratnost,Agencija,0,210000.0,2026-06-21 15:44:37
5425645955391,Beograd,Obrenovac,Obrenovac (mesto),flat,Stan,79.19,3.0 Broj soba,I,4 Spratnost,Vlasnik,9,149990.0,2026-06-21 15:44:37
5425647072183,Beograd,Zvezdara,Lion,flat,Stan,60.0,3.0 Broj soba,VI,6 Spratnost,Agencija,6,250000.0,2026-06-21 15:44:37
5425646843380,Beograd,Voždovac,TC Stadion,flat,Stan,53.38,2.0 Broj soba,II,4 Spratnost,Agencija,10,136119.0,2026-06-21 15:44:37
5425647199535,Beograd,Voždovac,Vojvode Stepe,flat,Stan,83.0,3.0 Broj soba,IV,6 Spratnost,Agencija,16,266000.0,2026-06-21 15:44:37
5425647200115,Beograd,Voždovac,TC Stadion,flat,Stan,40.14,1.5 Broj soba,IV,4 Spratnost,Agencija,9,108378.0,2026-06-21 15:44:37
5425647181884,Beograd,Voždovac,Lekino brdo,flat,Stan,260.0,5.0 Broj soba,III,3 Spratnost,Agencija,19,780000.0,2026-06-21 15:44:37
5425647052577,Beograd,Vračar,Crveni krst,flat,Stan,84.0,3.0 Broj soba,I,4 Spratnost,Agencija,3,352800.0,2026-06-21 15:44:37
5425647052564,Beograd,Novi Beograd,Blok 65,flat,Stan,453.19,5.0 Broj soba,,,Agencija,11,5000000.0,2026-06-21 15:44:37
5425647052562,Beograd,Novi Beograd,Blok 65,flat,Stan,91.0,3.0 Broj soba,PR,9 Spratnost,Agencija,28,330000.0,2026-06-21 15:44:37
5425647194100,Beograd,Novi Beograd,Blok 65,flat,Stan,72.4,3.0 Broj soba,VII,9 Spratnost,Agencija,41,369900.0,2026-06-21 15:44:37
5425647052586,Beograd,Zvezdara,Lion,flat,Stan,123.52,5.0 Broj soba,VIII,8 Spratnost,Agencija,7,426144.0,2026-06-21 15:44:37
